1879@458@0@2@230@9@13@Will you lend me your strength so that others can get by without losing their loved ones?
1880@458@0@2@21@14@16@Will you lend me your strength so that others can get by without losing their loved ones?
1881@458@0@2@27@17@21@Will you lend me your strength so that others can get by without losing their loved ones?
1882@458@0@2@231@22@30@Will you lend me your strength so that others can get by without losing their loved ones?
1883@458@0@2@8@31@33@Will you lend me your strength so that others can get by without losing their loved ones?
1884@458@0@2@11@34@38@Will you lend me your strength so that others can get by without losing their loved ones?
1885@458@0@2@632@39@45@Will you lend me your strength so that others can get by without losing their loved ones?
1886@458@0@2@153@46@49@Will you lend me your strength so that others can get by without losing their loved ones?
1887@458@0@2@117@50@53@Will you lend me your strength so that others can get by without losing their loved ones?
1888@458@0@2@88@54@56@Will you lend me your strength so that others can get by without losing their loved ones?
1889@458@0@2@158@57@64@Will you lend me your strength so that others can get by without losing their loved ones?
1890@458@0@2@633@65@71@Will you lend me your strength so that others can get by without losing their loved ones?
1891@458@0@2@317@72@77@Will you lend me your strength so that others can get by without losing their loved ones?
1892@458@0@2@634@78@83@Will you lend me your strength so that others can get by without losing their loved ones?
1893@458@0@2@349@84@88@Will you lend me your strength so that others can get by without losing their loved ones?
1894@459@0@2@355@0@3@Yes! Your kind words are more than I am worthy of!
1895@459@0@2@27@5@9@Yes! Your kind words are more than I am worthy of!
1896@459@0@2@348@10@14@Yes! Your kind words are more than I am worthy of!
1897@459@0@2@635@15@20@Yes! Your kind words are more than I am worthy of!
1898@459@0@2@83@21@24@Yes! Your kind words are more than I am worthy of!
1899@459@0@2@186@25@29@Yes! Your kind words are more than I am worthy of!
1900@459@0@2@636@30@34@Yes! Your kind words are more than I am worthy of!
1901@459@0@2@37@35@36@Yes! Your kind words are more than I am worthy of!
1902@459@0@2@616@37@39@Yes! Your kind words are more than I am worthy of!
1903@459@0@2@637@40@46@Yes! Your kind words are more than I am worthy of!
1904@459@0@2@13@47@49@Yes! Your kind words are more than I am worthy of!
1905@460@0@2@37@0@1@I heard about it, Euphemia.
1906@460@0@2@638@2@7@I heard about it, Euphemia.
1907@460@0@2@193@8@13@I heard about it, Euphemia.
1908@460@0@2@24@14@16@I heard about it, Euphemia.
1909@460@0@2@618@18@26@I heard about it, Euphemia.
1910@461@0@2@98@0@3@I'm sorry, sister. However...
1911@461@0@2@17@4@9@I'm sorry, sister. However...
1912@461@0@2@639@11@17@I'm sorry, sister. However...
1913@461@0@2@640@19@26@I'm sorry, sister. However...
1914@462@0@2@148@0@5@While we are here, call me Governor-General, Vice-Governor Euphemia.
1915@462@0@2@127@6@8@While we are here, call me Governor-General, Vice-Governor Euphemia.
1916@462@0@2@83@9@12@While we are here, call me Governor-General, Vice-Governor Euphemia.
1917@462@0@2@65@13@17@While we are here, call me Governor-General, Vice-Governor Euphemia.
1918@462@0@2@379@19@23@While we are here, call me Governor-General, Vice-Governor Euphemia.
1919@462@0@2@21@24@26@While we are here, call me Governor-General, Vice-Governor Euphemia.
1920@462@0@2@641@27@43@While we are here, call me Governor-General, Vice-Governor Euphemia.
1921@462@0@2@642@45@58@While we are here, call me Governor-General, Vice-Governor Euphemia.
1922@462@0@2@618@59@67@While we are here, call me Governor-General, Vice-Governor Euphemia.
1923@463@0@2@75@0@1@A distinction is needed precisely because we are true siblings.
1924@463@0@2@643@2@13@A distinction is needed precisely because we are true siblings.
1925@463@0@2@68@14@16@A distinction is needed precisely because we are true siblings.
1926@463@0@2@644@17@23@A distinction is needed precisely because we are true siblings.
1927@463@0@2@645@24@33@A distinction is needed precisely because we are true siblings.
1928@463@0@2@211@34@41@A distinction is needed precisely because we are true siblings.
1929@463@0@2@127@42@44@A distinction is needed precisely because we are true siblings.
1930@463@0@2@83@45@48@A distinction is needed precisely because we are true siblings.
1931@463@0@2@646@49@53@A distinction is needed precisely because we are true siblings.
1932@463@0@2@647@54@62@A distinction is needed precisely because we are true siblings.
1933@464@0@2@126@0@4@Also, concerning the measures being taken...
1934@464@0@2@648@6@16@Also, concerning the measures being taken...
1935@464@0@2@6@17@20@Also, concerning the measures being taken...
1936@464@0@2@649@21@29@Also, concerning the measures being taken...
1937@464@0@2@164@30@35@Also, concerning the measures being taken...
1938@464@0@2@650@36@41@Also, concerning the measures being taken...
1939@465@0@2@355@0@3@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1940@465@0@2@6@5@8@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1941@465@0@2@651@9@21@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1942@465@0@2@74@22@25@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1943@465@0@2@6@26@29@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1944@465@0@2@652@30@39@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1945@465@0@2@13@40@42@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1946@465@0@2@6@43@46@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1947@465@0@2@585@47@55@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1948@465@0@2@301@56@64@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1949@465@0@2@83@65@68@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1950@465@0@2@164@69@74@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1951@465@0@2@653@75@82@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1952@465@0@2@22@83@85@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1953@465@0@2@6@86@89@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1954@465@0@2@654@90@100@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1955@465@0@2@655@101@107@Yes, the preparations for the welcoming of the Imperial Princess are being readied in the government office...
1956@466@0@2@19@0@3@You are lacking. You are weak. You are being sluggish.
1957@466@0@2@83@4@7@You are lacking. You are weak. You are being sluggish.
1958@466@0@2@656@8@15@You are lacking. You are weak. You are being sluggish.
1959@466@0@2@19@17@20@You are lacking. You are weak. You are being sluggish.
1960@466@0@2@83@21@24@You are lacking. You are weak. You are being sluggish.
1961@466@0@2@524@25@29@You are lacking. You are weak. You are being sluggish.
1962@466@0@2@19@31@34@You are lacking. You are weak. You are being sluggish.
1963@466@0@2@83@35@38@You are lacking. You are weak. You are being sluggish.
1964@466@0@2@164@39@44@You are lacking. You are weak. You are being sluggish.
1965@466@0@2@657@45@53@You are lacking. You are weak. You are being sluggish.
1966@467@0@2@658@0@7@Capture the enemy of the empire's people!
1967@467@0@2@6@8@11@Capture the enemy of the empire's people!
1968@467@0@2@659@12@17@Capture the enemy of the empire's people!
1969@467@0@2@13@18@20@Capture the enemy of the empire's people!
1970@467@0@2@6@21@24@Capture the enemy of the empire's people!
1971@467@0@2@660@25@33@Capture the enemy of the empire's people!
1972@467@0@2@295@34@40@Capture the enemy of the empire's people!
1973@468@0@2@42@0@4@From today on, I will be a student at Ashford Academy.
1974@468@0@2@365@5@10@From today on, I will be a student at Ashford Academy.
1975@468@0@2@163@11@13@From today on, I will be a student at Ashford Academy.
1976@468@0@2@37@15@16@From today on, I will be a student at Ashford Academy.
1977@468@0@2@32@17@21@From today on, I will be a student at Ashford Academy.
1978@468@0@2@33@22@24@From today on, I will be a student at Ashford Academy.
1979@468@0@2@75@25@26@From today on, I will be a student at Ashford Academy.
1980@468@0@2@360@27@34@From today on, I will be a student at Ashford Academy.
1981@468@0@2@100@35@37@From today on, I will be a student at Ashford Academy.
1982@468@0@2@661@38@45@From today on, I will be a student at Ashford Academy.
1983@468@0@2@662@46@53@From today on, I will be a student at Ashford Academy.
1984@469@0@2@663@0@7@Pleased to meet you.
1985@469@0@2@35@8@10@Pleased to meet you.
1986@469@0@2@664@11@15@Pleased to meet you.
1987@469@0@2@19@16@19@Pleased to meet you.
1988@470@0@2@35@0@2@To Shirley and Rival...
1989@470@0@2@665@3@10@To Shirley and Rival...
1990@470@0@2@197@11@14@To Shirley and Rival...
1991@470@0@2@666@15@20@To Shirley and Rival...
1992@471@0@2@157@0@4@Even to Suzaku and Nanali.
1993@471@0@2@35@5@7@Even to Suzaku and Nanali.
1994@471@0@2@330@8@14@Even to Suzaku and Nanali.
1995@471@0@2@197@15@18@Even to Suzaku and Nanali.
1996@471@0@2@121@19@25@Even to Suzaku and Nanali.
1997@472@0@2@57@0@3@But... I can't go back... I can't return.
1998@472@0@2@37@7@8@But... I can't go back... I can't return.
1999@472@0@2@596@9@14@But... I can't go back... I can't return.
2000@472@0@2@115@15@17@But... I can't go back... I can't return.
2001@472@0@2@667@18@22@But... I can't go back... I can't return.
2002@472@0@2@37@26@27@But... I can't go back... I can't return.
2003@472@0@2@596@28@33@But... I can't go back... I can't return.
2004@472@0@2@384@34@40@But... I can't go back... I can't return.
2005@473@0@2@168@0@2@If C.C. is my accomplice, then I have to use that.
2006@473@0@2@60@3@4@If C.C. is my accomplice, then I have to use that.
2007@473@0@2@60@5@6@If C.C. is my accomplice, then I have to use that.
2008@473@0@2@68@8@10@If C.C. is my accomplice, then I have to use that.
2009@473@0@2@138@11@13@If C.C. is my accomplice, then I have to use that.
2010@473@0@2@668@14@24@If C.C. is my accomplice, then I have to use that.
2011@473@0@2@260@26@30@If C.C. is my accomplice, then I have to use that.
2012@473@0@2@37@31@32@If C.C. is my accomplice, then I have to use that.
2013@473@0@2@2@33@37@If C.C. is my accomplice, then I have to use that.
2014@473@0@2@35@38@40@If C.C. is my accomplice, then I have to use that.
2015@473@0@2@431@41@44@If C.C. is my accomplice, then I have to use that.
2016@473@0@2@11@45@49@If C.C. is my accomplice, then I have to use that.
2017@474@0@2@211@0@7@Because I don't want to lie to myself any longer.
2018@474@0@2@37@8@9@Because I don't want to lie to myself any longer.
2019@474@0@2@240@10@15@Because I don't want to lie to myself any longer.
2020@474@0@2@259@16@20@Because I don't want to lie to myself any longer.
2021@474@0@2@35@21@23@Because I don't want to lie to myself any longer.
2022@474@0@2@331@24@27@Because I don't want to lie to myself any longer.
2023@474@0@2@35@28@30@Because I don't want to lie to myself any longer.
2024@474@0@2@323@31@37@Because I don't want to lie to myself any longer.
2025@474@0@2@310@38@41@Because I don't want to lie to myself any longer.
2026@474@0@2@149@42@48@Because I don't want to lie to myself any longer.
2027@475@0@2@125@0@5@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2028@475@0@2@83@6@9@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2029@475@0@2@669@10@14@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2030@475@0@2@670@15@25@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2031@475@0@2@671@26@32@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2032@475@0@2@162@33@36@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2033@475@0@2@672@37@46@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2034@475@0@2@193@47@52@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2035@475@0@2@301@53@61@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2036@475@0@2@618@62@70@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2037@475@0@2@514@71@75@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2038@475@0@2@9@76@80@There are some unpleasant rumors now spreading about Princess Euphemia over this.
2039@476@0@2@16@0@5@right? That's where she made contact with Zero.
2040@476@0@2@131@7@13@right? That's where she made contact with Zero.
2041@476@0@2@401@14@19@right? That's where she made contact with Zero.
2042@476@0@2@622@20@23@right? That's where she made contact with Zero.
2043@476@0@2@673@24@28@right? That's where she made contact with Zero.
2044@476@0@2@382@29@36@right? That's where she made contact with Zero.
2045@476@0@2@85@37@41@right? That's where she made contact with Zero.
2046@476@0@2@39@42@46@right? That's where she made contact with Zero.
2047@477@0@2@37@0@1@I think there may be some connection with the top level.
2048@477@0@2@152@2@7@I think there may be some connection with the top level.
2049@477@0@2@125@8@13@I think there may be some connection with the top level.
2050@477@0@2@109@14@17@I think there may be some connection with the top level.
2051@477@0@2@33@18@20@I think there may be some connection with the top level.
2052@477@0@2@669@21@25@I think there may be some connection with the top level.
2053@477@0@2@674@26@36@I think there may be some connection with the top level.
2054@477@0@2@85@37@41@I think there may be some connection with the top level.
2055@477@0@2@6@42@45@I think there may be some connection with the top level.
2056@477@0@2@626@46@49@I think there may be some connection with the top level.
2057@477@0@2@675@50@55@I think there may be some connection with the top level.
2058@478@0@2@6@0@3@The viceroy wasn't the only one asking what was going on.
2059@478@0@2@676@4@11@The viceroy wasn't the only one asking what was going on.
2060@478@0@2@677@12@18@The viceroy wasn't the only one asking what was going on.
2061@478@0@2@6@19@22@The viceroy wasn't the only one asking what was going on.
2062@478@0@2@72@23@27@The viceroy wasn't the only one asking what was going on.
2063@478@0@2@86@28@31@The viceroy wasn't the only one asking what was going on.
2064@478@0@2@678@32@38@The viceroy wasn't the only one asking what was going on.
2065@478@0@2@113@39@43@The viceroy wasn't the only one asking what was going on.
2066@478@0@2@155@44@47@The viceroy wasn't the only one asking what was going on.
2067@478@0@2@161@48@53@The viceroy wasn't the only one asking what was going on.
2068@478@0@2@163@54@56@The viceroy wasn't the only one asking what was going on.
2069@479@0@2@81@0@3@our connections with them must be... we'll have to sever ties at once.
2070@479@0@2@679@4@15@our connections with them must be... we'll have to sever ties at once.
2071@479@0@2@85@16@20@our connections with them must be... we'll have to sever ties at once.
2072@479@0@2@474@21@25@our connections with them must be... we'll have to sever ties at once.
2073@479@0@2@482@26@30@our connections with them must be... we'll have to sever ties at once.
2074@479@0@2@33@31@33@our connections with them must be... we'll have to sever ties at once.
2075@479@0@2@577@37@42@our connections with them must be... we'll have to sever ties at once.
2076@479@0@2@2@43@47@our connections with them must be... we'll have to sever ties at once.
2077@479@0@2@35@48@50@our connections with them must be... we'll have to sever ties at once.
2078@479@0@2@680@51@56@our connections with them must be... we'll have to sever ties at once.
2079@479@0@2@681@57@61@our connections with them must be... we'll have to sever ties at once.
2080@479@0@2@100@62@64@our connections with them must be... we'll have to sever ties at once.
2081@479@0@2@682@65@69@our connections with them must be... we'll have to sever ties at once.
2082@480@0@2@6@0@3@The profit-sharing bribes from the N.A.C.
2083@480@0@2@683@4@18@The profit-sharing bribes from the N.A.C.
2084@480@0@2@684@19@25@The profit-sharing bribes from the N.A.C.
2085@480@0@2@42@26@30@The profit-sharing bribes from the N.A.C.
2086@480@0@2@6@31@34@The profit-sharing bribes from the N.A.C.
2087@480@0@2@685@35@36@The profit-sharing bribes from the N.A.C.
2088@480@0@2@75@37@38@The profit-sharing bribes from the N.A.C.
2089@480@0@2@60@39@40@The profit-sharing bribes from the N.A.C.
2090@481@0@2@85@0@4@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2091@481@0@2@9@5@9@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2092@481@0@2@127@13@15@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2093@481@0@2@153@16@19@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2094@481@0@2@428@20@27@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2095@481@0@2@686@28@33@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2096@481@0@2@123@34@38@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2097@481@0@2@6@39@42@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2098@481@0@2@687@43@52@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2099@481@0@2@264@53@56@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2100@481@0@2@128@57@61@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2101@481@0@2@688@62@69@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2102@481@0@2@554@70@76@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2103@481@0@2@41@77@83@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2104@481@0@2@689@84@87@With this... we can finally sweep away the parasites who were sucking Prince Clovis dry.
2105@482@0@2@186@0@4@More rats than expected are confused... aren't they?
2106@482@0@2@690@5@9@More rats than expected are confused... aren't they?
2107@482@0@2@636@10@14@More rats than expected are confused... aren't they?
2108@482@0@2@159@15@23@More rats than expected are confused... aren't they?
2109@482@0@2@83@24@27@More rats than expected are confused... aren't they?
2110@482@0@2@691@28@36@More rats than expected are confused... aren't they?
2111@482@0@2@167@40@46@More rats than expected are confused... aren't they?
2112@482@0@2@0@47@51@More rats than expected are confused... aren't they?
2113@483@0@2@514@0@4@Over twenty thousand people have applied to join the Nippon special zone.
2114@483@0@2@692@5@11@Over twenty thousand people have applied to join the Nippon special zone.
2115@483@0@2@693@12@20@Over twenty thousand people have applied to join the Nippon special zone.
2116@483@0@2@295@21@27@Over twenty thousand people have applied to join the Nippon special zone.
2117@483@0@2@2@28@32@Over twenty thousand people have applied to join the Nippon special zone.
2118@483@0@2@694@33@40@Over twenty thousand people have applied to join the Nippon special zone.
2119@483@0@2@35@41@43@Over twenty thousand people have applied to join the Nippon special zone.
2120@483@0@2@695@44@48@Over twenty thousand people have applied to join the Nippon special zone.
2121@483@0@2@6@49@52@Over twenty thousand people have applied to join the Nippon special zone.
2122@483@0@2@696@53@59@Over twenty thousand people have applied to join the Nippon special zone.
2123@483@0@2@592@60@67@Over twenty thousand people have applied to join the Nippon special zone.
2124@483@0@2@441@68@72@Over twenty thousand people have applied to join the Nippon special zone.
2125@484@0@2@11@0@4@that number's just going to grow.
2126@484@0@2@697@5@13@that number's just going to grow.
2127@484@0@2@154@14@18@that number's just going to grow.
2128@484@0@2@161@19@24@that number's just going to grow.
2129@484@0@2@35@25@27@that number's just going to grow.
2130@484@0@2@698@28@32@that number's just going to grow.
2131@485@0@2@222@0@6@Thanks to you. everyone believes in what we're doing here.
2132@485@0@2@35@7@9@Thanks to you. everyone believes in what we're doing here.
2133@485@0@2@19@10@13@Thanks to you. everyone believes in what we're doing here.
2134@485@0@2@699@15@23@Thanks to you. everyone believes in what we're doing here.
2135@485@0@2@700@24@32@Thanks to you. everyone believes in what we're doing here.
2136@485@0@2@22@33@35@Thanks to you. everyone believes in what we're doing here.
2137@485@0@2@113@36@40@Thanks to you. everyone believes in what we're doing here.
2138@485@0@2@332@41@46@Thanks to you. everyone believes in what we're doing here.
2139@485@0@2@114@47@52@Thanks to you. everyone believes in what we're doing here.
2140@485@0@2@65@53@57@Thanks to you. everyone believes in what we're doing here.
2141@486@0@2@98@0@3@I'm thankful for this.
2142@486@0@2@701@4@12@I'm thankful for this.
2143@486@0@2@74@13@16@I'm thankful for this.
2144@486@0@2@9@17@21@I'm thankful for this.
2145@487@0@2@135@0@2@As I am to you.
2146@487@0@2@37@3@4@As I am to you.
2147@487@0@2@616@5@7@As I am to you.
2148@487@0@2@35@8@10@As I am to you.
2149@487@0@2@19@11@14@As I am to you.
2150@488@0@2@37@0@1@I hope you'll help me with everything that's still to come.
2151@488@0@2@334@2@6@I hope you'll help me with everything that's still to come.
2152@488@0@2@182@7@13@I hope you'll help me with everything that's still to come.
2153@488@0@2@297@14@18@I hope you'll help me with everything that's still to come.
2154@488@0@2@21@19@21@I hope you'll help me with everything that's still to come.
2155@488@0@2@85@22@26@I hope you'll help me with everything that's still to come.
2156@488@0@2@522@27@37@I hope you'll help me with everything that's still to come.
2157@488@0@2@131@38@44@I hope you'll help me with everything that's still to come.
2158@488@0@2@604@45@50@I hope you'll help me with everything that's still to come.
2159@488@0@2@35@51@53@I hope you'll help me with everything that's still to come.
2160@488@0@2@356@54@58@I hope you'll help me with everything that's still to come.
2161@489@0@2@702@0@10@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2162@489@0@2@703@11@15@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2163@489@0@2@704@18@26@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2164@489@0@2@6@27@30@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2165@489@0@2@705@31@36@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2166@489@0@2@11@37@41@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2167@489@0@2@37@42@43@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2168@489@0@2@706@44@51@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2169@489@0@2@707@52@59@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2170@489@0@2@708@60@65@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2171@489@0@2@704@68@76@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2172@489@0@2@709@77@84@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2173@489@0@2@197@85@88@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2174@489@0@2@710@89@96@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2175@489@0@2@22@97@99@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2176@489@0@2@138@100@102@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2177@489@0@2@711@103@108@Yumemiteta yume {\cH00FF00}The dream that I dreamed Hatenai tooku {\cH00FF00}Endless and distant in my hands
2178@490@0@2@155@0@3@was personally proposed by Her Highness Princess Euphemia.
2179@490@0@2@712@4@14@was personally proposed by Her Highness Princess Euphemia.
2180@490@0@2@713@15@23@was personally proposed by Her Highness Princess Euphemia.
2181@490@0@2@88@24@26@was personally proposed by Her Highness Princess Euphemia.
2182@490@0@2@406@27@30@was personally proposed by Her Highness Princess Euphemia.
2183@490@0@2@714@31@39@was personally proposed by Her Highness Princess Euphemia.
2184@490@0@2@301@40@48@was personally proposed by Her Highness Princess Euphemia.
2185@490@0@2@618@49@57@was personally proposed by Her Highness Princess Euphemia.
2186@491@0@2@24@0@2@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2187@491@0@2@298@3@9@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2188@491@0@2@33@10@12@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2189@491@0@2@715@13@22@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2190@491@0@2@11@23@27@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2191@491@0@2@9@28@32@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2192@491@0@2@716@33@38@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2193@491@0@2@717@39@43@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2194@491@0@2@68@47@49@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2195@491@0@2@718@50@59@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2196@491@0@2@35@60@62@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2197@491@0@2@6@63@66@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2198@491@0@2@301@67@75@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2199@491@0@2@164@76@81@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2200@491@0@2@75@82@83@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2201@491@0@2@360@84@91@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2202@491@0@2@75@92@93@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2203@491@0@2@509@94@99@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2204@491@0@2@148@100@105@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2205@491@0@2@719@106@109@It cannot be dismissed that this novel idea... is connected to the princess being a student a short while ago.
2206@492@0@2@260@0@4@then even I have to... isn't she?
2207@492@0@2@157@5@9@then even I have to... isn't she?
2208@492@0@2@37@10@11@then even I have to... isn't she?
2209@492@0@2@2@12@16@then even I have to... isn't she?
2210@492@0@2@35@17@19@then even I have to... isn't she?
2211@492@0@2@419@23@28@then even I have to... isn't she?
2212@492@0@2@622@29@32@then even I have to... isn't she?
2213@493@0@2@162@0@3@Now the terror groups in Area 11 will lose their popular support and fall apart.
2214@493@0@2@6@4@7@Now the terror groups in Area 11 will lose their popular support and fall apart.
2215@493@0@2@720@8@14@Now the terror groups in Area 11 will lose their popular support and fall apart.
2216@493@0@2@207@15@21@Now the terror groups in Area 11 will lose their popular support and fall apart.
2217@493@0@2@22@22@24@Now the terror groups in Area 11 will lose their popular support and fall apart.
2218@493@0@2@14@25@29@Now the terror groups in Area 11 will lose their popular support and fall apart.
2219@493@0@2@32@33@37@Now the terror groups in Area 11 will lose their popular support and fall apart.
2220@493@0@2@539@38@42@Now the terror groups in Area 11 will lose their popular support and fall apart.
2221@493@0@2@317@43@48@Now the terror groups in Area 11 will lose their popular support and fall apart.
2222@493@0@2@721@49@56@Now the terror groups in Area 11 will lose their popular support and fall apart.
2223@493@0@2@722@57@64@Now the terror groups in Area 11 will lose their popular support and fall apart.
2224@493@0@2@197@65@68@Now the terror groups in Area 11 will lose their popular support and fall apart.
2225@493@0@2@723@69@73@Now the terror groups in Area 11 will lose their popular support and fall apart.
2226@493@0@2@724@74@79@Now the terror groups in Area 11 will lose their popular support and fall apart.
2227@494@0@2@624@0@6@Public order will be stabilized.
2228@494@0@2@481@7@12@Public order will be stabilized.
2229@494@0@2@32@13@17@Public order will be stabilized.
2230@494@0@2@33@18@20@Public order will be stabilized.
2231@494@0@2@725@21@31@Public order will be stabilized.
2232@495@0@2@37@0@1@I personally oppose this.
2233@495@0@2@712@2@12@I personally oppose this.
2234@495@0@2@726@13@19@I personally oppose this.
2235@495@0@2@9@20@24@I personally oppose this.
2236@496@0@2@35@0@2@To ensure public policy stays on track.
2237@496@0@2@727@3@9@To ensure public policy stays on track.
2238@496@0@2@624@10@16@To ensure public policy stays on track.
2239@496@0@2@728@17@23@To ensure public policy stays on track.
2240@496@0@2@729@24@29@To ensure public policy stays on track.
2241@496@0@2@163@30@32@To ensure public policy stays on track.
2242@496@0@2@730@33@38@To ensure public policy stays on track.
2243@497@0@2@93@0@4@It's an obvious measure for a viceroy to take.
2244@497@0@2@160@5@7@It's an obvious measure for a viceroy to take.
2245@497@0@2@731@8@15@It's an obvious measure for a viceroy to take.
2246@497@0@2@732@16@23@It's an obvious measure for a viceroy to take.
2247@497@0@2@74@24@27@It's an obvious measure for a viceroy to take.
2248@497@0@2@75@28@29@It's an obvious measure for a viceroy to take.
2249@497@0@2@676@30@37@It's an obvious measure for a viceroy to take.
2250@497@0@2@35@38@40@It's an obvious measure for a viceroy to take.
2251@497@0@2@373@41@45@It's an obvious measure for a viceroy to take.
2252@498@0@2@195@0@3@Did you accept Euphy's future from the standpoint of a public official as well?
2253@498@0@2@19@4@7@Did you accept Euphy's future from the standpoint of a public official as well?
2254@498@0@2@733@8@14@Did you accept Euphy's future from the standpoint of a public official as well?
2255@498@0@2@734@15@22@Did you accept Euphy's future from the standpoint of a public official as well?
